data,hora,municipio,tipo_crime,bairro,cep,logradouro,lat,lon,ano
2023-01-09,22:00:00,S.PAULO,Roubo (art. 157),SE,1503010.0,PRAÇA DA LIBERDADE,-23.5555,-46.635936,2023
2022-01-10,20:50:00,S.PAULO,Roubo (art. 157),SE,1501010.0,RUA DOUTOR RODRIGO SILVA,-23.5522,-46.635567,2023
2022-12-30,15:30:00,S.PAULO,Roubo (art. 157),SE,3102010.0,RUA DA FIGUEIRA,-23.5512,-46.624995,2023
2023-01-06,20:30:32,S.PAULO,Roubo (art. 157),SÉ,1005010.0,LARGO SÃO FRANCISCO,-23.5499,-46.636493,2023
2023-01-11,18:30:00,S.PAULO,Roubo (art. 157),SÉ,1014030.0,LARGO PÁTEO DO COLÉGIO,-23.5486,-46.6332,2023
2023-01-11,,S.PAULO,Roubo (art. 157),SE,1001010.0,RUA FILIPE DE OLIVEIRA,-23.5518,-46.632578,2023
2023-01-11,,S.PAULO,Roubo (art. 157),SE,1001010.0,RUA FILIPE DE OLIVEIRA,-23.5518,-46.632578,2023
2023-01-11,22:50:00,S.PAULO,Roubo (art. 157),SE,3003000.0,RUA DA FIGUEIRA,-23.5453,-46.626353,2023
2023-01-12,21:00:00,S.PAULO,Roubo (art. 157),SE,1017000.0,AVENIDA RANGEL PESTANA,-23.5496,-46.629975,2023
2023-01-12,21:00:00,S.PAULO,Roubo (art. 157),SE,1017000.0,AVENIDA RANGEL PESTANA,-23.5496,-46.629975,2023
2023-01-12,09:30:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.552,-46.634429,2023
2023-01-13,11:50:00,S.PAULO,Roubo (art. 157),SE,1005020.0,LARGO SAO FRANCISCO,-23.5495,-46.637221,2023
2023-01-12,14:20:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1016010.0,PRAÇA DA SÉ,-23.549,-46.632918,2023
2023-01-12,16:20:00,S.PAULO,Roubo (art. 157),LIBERDADE,1514001.0,RUA GLICÉRIO,-23.5592,-46.630947,2023
2023-01-12,07:00:00,S.PAULO,Roubo (art. 157),SE,1503010.0,PRAÇA DA LIBERDADE,-23.5555,-46.635813,2023
2023-01-12,15:00:00,S.PAULO,Roubo (art. 157),SE,3007000.0,AVENIDA MERCURIO,-23.5436,-46.627054,2023
2023-01-12,15:00:00,S.PAULO,Roubo (art. 157),SE,3007000.0,AVENIDA MERCURIO,-23.5436,-46.627054,2023
2023-01-10,00:20:00,S.PAULO,Roubo (art. 157),REPUBLICA,1315001.0,RUA SANTO AMARO,-23.5496,-46.638886,2023
2023-01-13,08:10:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.552,-46.634429,2023
2023-01-13,,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.552,-46.634429,2023
2023-01-14,,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1014030.0,PRAÇA DA SÉ,-23.5489,-46.633459,2023
2023-01-14,09:40:00,S.PAULO,Roubo (art. 157),SE,1503010.0,PRAÇA DA LIBERDADE,-23.5551,-46.635325,2023
2023-01-15,14:30:51,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1017040.0,AVENIDA PRESTES MAIA,-23.54,-46.63365,2023
2023-01-15,21:30:00,S.PAULO,Roubo (art. 157),SE,1503010.0,PRAÇA DA LIBERDADE,-23.5555,-46.635936,2023
2023-01-16,13:30:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.552,-46.634429,2023
2023-01-15,16:00:00,S.PAULO,Roubo (art. 157),SE,1503010.0,AVENIDA DA LIBERDADE,-23.5538,-46.63523,2023
2023-01-14,12:00:00,S.PAULO,Roubo (art. 157),LIBERDADE,1511020.0,RUA CONSELHEIRO FURTADO,-23.5576,-46.632936,2023
2023-01-16,12:53:00,S.PAULO,Roubo (art. 157),SÉ,1007080.0,PASSARELA DO PIQUES,-23.5494,-46.638526,2023
2023-01-15,21:30:00,S.PAULO,Roubo (art. 157),SE,1503010.0,PRAÇA DA LIBERDADE,-23.5555,-46.635936,2023
2023-01-16,21:20:00,S.PAULO,Roubo (art. 157),SE,1005000.0,RUA BENJAMIM CONSTANT,-23.5497,-46.635831,2023
2023-01-16,19:20:00,S.PAULO,Roubo (art. 157),SE,1015000.0,RUA GENERAL CARNEIRO,-23.5455,-46.631411,2023
2023-01-15,05:00:00,S.PAULO,Roubo (art. 157),SE,1013001.0,RUA QUINZE DE NOVEMBRO,-23.549,-46.633799,2023
2023-01-14,21:00:00,S.PAULO,Roubo (art. 157),SÉ,1001001.0,PRAÇA DA SÉ,-23.5504,-46.634247,2023
2023-01-18,12:30:00,S.PAULO,Roubo (art. 157),SÉ,1060040.0,LARGO PÁTEO DO COLÉGIO,-23.5486,-46.6332,2023
2023-01-18,16:39:00,S.PAULO,Roubo (art. 157),SE,1020030.0,RUA FREDERICO ALVARENGA,-23.5515,-46.628106,2023
2023-01-17,,S.PAULO,Roubo (art. 157),SE,1005020.0,LARGO SAO FRANCISCO,-23.5495,-46.637221,2023
2023-01-17,,S.PAULO,Roubo (art. 157),SE,1005020.0,LARGO SAO FRANCISCO,-23.5495,-46.637221,2023
2023-01-17,,S.PAULO,Roubo (art. 157),SE,1005020.0,LARGO SAO FRANCISCO,-23.5495,-46.637221,2023
